Tiempo_s,Hora,Latitud,Longitud,Altura,dB_V_dZ,dB_N_dN,dB_E_dE
0.0,17:28:19.000,4.488482857093722,-75.39583286442605,2380.0,435.5789615671529,-15803.411013154662,5519.201585013288
41.0,17:29:00.000,4.488602027824937,-75.39573471893507,2380.0,432.8689214266536,-11450.74259982798,2708.520864753788
101.0,17:30:00.000,4.488924834290111,-75.39562543977407,2380.0,347.53673114323465,-13993.999386871756,5458.174285881443
161.0,17:31:00.000,4.489237906303043,-75.39553456446599,2380.0,-670.4069291447037,-6231.762632585287,-1683.356461746771
221.0,17:32:00.000,4.489606052361671,-75.39545106371317,2384.0,-846.7746585487718,17232.24143544239,-7287.427483084444
281.0,17:33:00.000,4.489908193427838,-75.39544574087643,2391.0,-2006.2768637935271,-10716.5775357224,-6197.078678649261
341.0,17:34:00.000,4.490158678216816,-75.39533964620335,2388.0,-1932.443012627933,-12144.093155134931,-6992.417388424457
401.0,17:35:00.000,4.490426395793649,-75.39521505642625,2388.0,-1437.0599673847366,299.859650200553,-3824.1467983577313
461.0,17:36:00.000,4.490781297782712,-75.39523373734924,2392.0,-66.0021366901201,-5795.574198372771,-115.67186354605656
521.0,17:37:00.000,4.491029455878412,-75.39507479846067,2391.0,-1382.845019480689,-9524.003130977717,-4758.075327874301
581.0,17:38:00.000,4.491279969160938,-75.39490695862011,2391.0,-334.99692743637814,-6981.873028303296,2647.385773709346
641.0,17:39:00.000,4.491584412831327,-75.39482317261775,2383.0,-623.749451745316,-7422.703562861323,-3148.770099803653
701.0,17:40:00.000,4.491897627481128,-75.39470380258877,2388.0,-854.0735512718869,-6177.794836533303,-7619.877480993575
761.0,17:41:00.000,4.492257484694951,-75.3946172338509,2391.0,-290.3370926302353,-4028.771381207702,-6135.891046144247
821.0,17:42:00.000,4.492625528217744,-75.39452266083188,2389.0,-1171.3662201124098,-10853.626604243427,-6416.401143984916
881.0,17:43:00.000,4.492703477445095,-75.39423439565421,2385.0,-353.567164740889,-11659.229441453928,4510.94701211495
941.0,17:44:00.000,4.492839156664007,-75.39399606993634,2386.0,-468.4033449458026,-11189.71578775446,2088.762386566046
1001.0,17:45:00.000,4.492902157037414,-75.39369121708076,2384.4090549068706,1610.2956690499025,-2757.8458661700133,11405.725232759092
1061.0,17:46:00.000,4.492482606247532,-75.39359895320906,2385.0,1942.1934296333009,7348.89199210373,7724.927052847008
1121.0,17:47:00.000,4.492508589324634,-75.3933287434953,2389.0,170.4857035693664,-11855.352978319112,3573.247954337823
1181.0,17:48:00.000,4.492726283224659,-75.39305158705399,2393.0,5.558518169438078,-17035.536577755927,-598.631020496412
1241.0,17:49:00.000,4.492929880558226,-75.3928469096407,2392.607578119012,1771.4603368355213,-7040.361357711743,6236.433807952821
1301.0,17:50:00.000,4.493133207959252,-75.39251357953935,2395.0,-1641.5360138021597,-18239.05839621313,6494.524519607909
1361.0,17:51:00.000,4.493322860092031,-75.39225594276513,2394.0,1692.9738987862029,-9686.43123328776,-1015.292682240164
1421.0,17:52:00.000,4.493579204630231,-75.39197480424329,2398.0,1756.4606202741804,-8476.37779992981,5268.631558618976
1481.0,17:53:00.000,4.493754272040353,-75.39154584036996,2400.1660236592656,2582.350232462855,-6658.655750109356,3747.350052828028
1541.0,17:54:00.000,4.49393356217189,-75.39124808631557,2405.4274508801964,2135.465452095586,-13354.88525446687,-2915.2645007409774
1601.0,17:55:00.000,4.494073397833492,-75.39089132277338,2411.0,2486.5273441829827,-13200.073128314973,-3900.6299943347112
1661.0,17:56:00.000,4.494145221138806,-75.39051609733956,2410.0,2840.3281432495664,-11151.6030138941,503.2574971387221
1721.0,17:57:00.000,4.494272801497306,-75.39022387272543,2414.0,2267.044764802757,-5027.247629136691,2975.2610932364933
1781.0,17:58:00.000,4.494449290947135,-75.3898384939504,2420.0,2234.831446843173,81.02657059473859,-1037.536881891423
1841.0,17:59:00.000,4.49442331045691,-75.38946825403237,2419.0,4480.094574916157,479.4864811313746,-6273.665576646243
1901.0,18:00:00.000,4.4942850649355375,-75.3891126304884,2431.1386085490176,763.6082877724257,8513.244254369332,3787.2200002126992
1961.0,18:01:00.000,4.494419113560493,-75.38877014374548,2430.1521244794194,1437.4032492087863,14509.495326392316,4596.290955076054
2021.0,18:02:00.000,4.4945401806231535,-75.38847095496772,2431.122077722988,4350.386974042383,4002.5522787455047,-2625.940221292464
2081.0,18:03:00.000,4.494666845253225,-75.38814298348383,2433.1941030685507,-1766.2291895864328,3159.3854673542664,8181.077646852031
2141.0,18:04:00.000,4.494818101707421,-75.38777218456192,2436.0,1290.7847443207818,-4399.049016267374,7020.399549092323
2201.0,18:05:00.000,4.494845905081752,-75.38741598369796,2433.143207542349,3675.299776240388,-3798.19721110048,7721.533162408368
2261.0,18:06:00.000,4.494887283877378,-75.38703165500961,2440.0,4397.214153299264,-2730.3633749884902,5521.047914919205
2321.0,18:07:00.000,4.494826516169479,-75.38670474944416,2433.0,5147.012563567962,-1431.1474685378637,2832.79367253113
2381.0,18:08:00.000,4.494385965046997,-75.38646720688719,2435.0,7306.192414824308,7892.60038094945,3135.204166503346
2441.0,18:09:00.000,4.494035869607737,-75.38626302013397,2441.7352768338487,6621.099337396586,5391.621842491399,19245.90166394849
2501.0,18:10:00.000,4.493837864344249,-75.38594154178227,2447.3283936738294,3067.811917558361,15436.59067382232,6623.147462172525
2561.0,18:11:00.000,4.49354826655256,-75.3855940878366,2454.0,-3148.7770311833738,10740.83495295202,4401.344622118653
2621.0,18:12:00.000,4.493270982905905,-75.38531770150597,2461.159176269194,-1612.1154953105531,8941.590230546179,2655.9144140531425
2681.0,18:13:00.000,4.492985391175931,-75.38507712216514,2467.0,-6405.511233738987,7093.916860161869,1993.6754501244288
2741.0,18:14:00.000,4.492726074902619,-75.38482591848977,2485.0,-3284.7071857786773,10426.54970619172,-15614.683227910084
2801.0,18:15:00.000,4.492419787729312,-75.38458524296867,2494.1922634712178,92.58551669375449,7019.107403894072,-2859.1513675164606
2861.0,18:16:00.000,4.492155024989404,-75.3843342740823,2500.1937453690693,-2030.526569793287,8137.553028216964,314.5756774334368
2921.0,18:17:00.000,4.492094730622337,-75.38396091731062,2503.4349625693044,38.73397266131845,-6015.205429366804,11391.848910643028
2981.0,18:18:00.000,4.492118792759709,-75.38362942895309,2492.0,1.061745857616188,-8509.255548061927,11499.997833555786
3041.0,18:19:00.000,4.492229026018495,-75.3832158994051,2486.035028999208,-3915.99107647385,-5840.678523294511,6434.456962706574
3101.0,18:20:00.000,4.492380983416119,-75.38286425120191,2487.606913819975,-4249.040137809915,-7841.378556422642,3325.378444735352
3161.0,18:21:00.000,4.492461037365716,-75.38254941535834,2485.0,1679.9301786183642,-15755.61472988395,13919.881725795418
3221.0,18:22:00.000,4.492514896928499,-75.38221895587446,2488.0,2303.029252882838,-20195.31039963312,10150.726042103515
3281.0,18:23:00.000,4.492568244062247,-75.38189548205591,2493.0,2792.012922675378,-16100.554531527408,10989.175454538936
3341.0,18:24:00.000,4.492580542977574,-75.38150623827521,2493.0,2630.416634371873,-15281.452437119044,16378.295849026375
