lon,lat,elev_m,dB_mGal
-75.38247824630476,4.4696117193762595,2425.0,-57.658979048505664
-75.37996318606379,4.4696117193762595,2388.0,-58.38888873671802
-75.37744812582282,4.4696117193762595,2355.0,-58.73307174756256
-75.37521251671974,4.4696117193762595,2351.0,-58.547279322744366
-75.37269745647878,4.4696117193762595,2441.0,-59.40443063473461
-75.37018239623782,4.4696117193762595,2623.0,-59.42511307493839
-75.36766733599686,4.4696117193762595,2802.0,-59.94319246373823
-75.36543172689377,4.4696117193762595,2894.0,-60.8335969803265
-75.36291666665281,4.4696117193762595,2825.0,-61.69803082230976
-75.4093055555417,4.471850162198645,1966.0,-60.84111161549371
-75.40679049530074,4.471850162198645,1966.0,-60.0565711405063
-75.40455488619766,4.471850162198645,2130.0,-59.43661540560474
-75.40203982595669,4.471850162198645,2185.0,-58.91403114528856
-75.39952476571574,4.471850162198645,2192.0,-57.74573220790775
-75.39700970547477,4.471850162198645,2267.0,-56.73998261901595
-75.39477409637169,4.471850162198645,2344.0,-55.758940034010436
-75.39225903613072,4.471850162198645,2476.0,-54.07354626978499
-75.38974397588976,4.471850162198645,2605.0,-52.80732105988648
-75.38722891564879,4.471850162198645,2598.0,-52.120494444362635
-75.38499330654572,4.471850162198645,2568.0,-53.94428276841275
-75.38247824630476,4.471850162198645,2536.0,-58.02360003913877
-75.37996318606379,4.471850162198645,2467.0,-59.38951600900726
-75.37744812582282,4.471850162198645,2410.0,-59.83794214601386
-75.37521251671974,4.471850162198645,2359.0,-59.6673290454083
-75.37269745647878,4.471850162198645,2463.0,-59.616796862642445
-75.37018239623782,4.471850162198645,2639.0,-59.399516563555466
-75.36766733599686,4.471850162198645,2792.0,-59.83732854722712
-75.36543172689377,4.471850162198645,2922.0,-60.75749536893498
-75.36291666665281,4.471850162198645,2961.0,-61.629636192484725
-75.4093055555417,4.473808799668231,1910.0,-60.69204307422188
-75.40679049530074,4.473808799668231,1995.0,-60.08314535974902
-75.40455488619766,4.473808799668231,2054.0,-59.450686929164966
-75.40203982595669,4.473808799668231,2135.0,-59.10225562072283
-75.39952476571574,4.473808799668231,2220.0,-57.85851283915934
-75.39700970547477,4.473808799668231,2259.0,-56.47074879620085
-75.39477409637169,4.473808799668231,2317.0,-55.19948168705571
-75.39225903613072,4.473808799668231,2476.0,-52.30007241565625
-75.38974397588976,4.473808799668231,2464.0,-49.86327607683531
-75.38722891564879,4.473808799668231,2476.0,-45.92751787850626
-75.38499330654572,4.473808799668231,2554.0,-50.07533569331973
-75.38247824630476,4.473808799668231,2618.0,-58.35171862273849
-75.37996318606379,4.473808799668231,2537.0,-60.353646178171935
-75.37744812582282,4.473808799668231,2443.0,-61.05908926780466
-75.37521251671974,4.473808799668231,2383.0,-60.83118834651964
-75.37269745647878,4.473808799668231,2422.0,-60.15973829702374
-75.37018239623782,4.473808799668231,2617.0,-59.63265665149039
-75.36766733599686,4.473808799668231,2764.0,-59.83361273714098
-75.36543172689377,4.473808799668231,2919.0,-60.647683658600215
-75.36291666665281,4.473808799668231,3007.0,-61.48819188147898
-75.4093055555417,4.475767437137818,1902.0,-60.743798571496356
-75.40679049530074,4.475767437137818,1983.0,-60.15623787623067
-75.40455488619766,4.475767437137818,2073.0,-59.46159589780975
-75.40203982595669,4.475767437137818,2189.0,-59.13116344869131
-75.39952476571574,4.475767437137818,2217.0,-57.90453431568521
-75.39700970547477,4.475767437137818,2293.0,-56.72085092557956
-75.39477409637169,4.475767437137818,2393.0,-55.93040885896141
-75.39225903613072,4.475767437137818,2400.0,-51.333112020496436
-75.38974397588976,4.475767437137818,2436.0,-47.4198092802432
-75.38722891564879,4.475767437137818,2462.0,-42.39023460362476
-75.38499330654572,4.475767437137818,2465.0,-49.23651494791725
-75.38247824630476,4.475767437137818,2543.0,-58.05172682353727
-75.37996318606379,4.475767437137818,2558.0,-61.348243293779916
-75.37744812582282,4.475767437137818,2486.0,-62.45593951613959
-75.37521251671974,4.475767437137818,2410.0,-62.160786051973616
-75.37269745647878,4.475767437137818,2401.0,-61.21501097332231
