Tiempo_s,Hora,Latitud,Longitud,Altura,dB_V_dZ,dB_N_dN,dB_E_dE
0.0,17:20:00.000,4.490832164691838,-75.37856987134316,2536.0,838.8685020313084,413.31077348507097,-8679.73224357589
60.0,17:21:00.000,4.4905443728144725,-75.3785952244952,2533.0,-2.6826611985088675,9779.915605961049,-385.0035305888741
120.0,17:22:00.000,4.490291978142362,-75.37861617787992,2531.0,0.4127539662198008,3701.338999357249,-11336.324822637913
180.0,17:23:00.000,4.490093879851317,-75.37863262361789,2520.0,1.3111362994022784,8797.46571289243,-4809.27087236282
240.0,17:24:00.000,4.489919585058225,-75.37871240270894,2520.0,3.920857192647721,-4727.088974387036,-2.482174766602838
300.0,17:25:00.000,4.490136175947626,-75.37872870469346,2522.9093381288653,3.680730389256496,6909.619020261584,5676.525593190378
360.0,17:26:00.000,4.490408919042923,-75.37872149143489,2531.6347646826616,8.168089275875294,-9479.950093849511,-13967.65498727571
420.0,17:27:00.000,4.490662394869815,-75.37870940770493,2533.0,9.817748856063796,-2382.0203041002387,8381.285442591507
480.0,17:28:00.000,4.490898701415859,-75.37874647918127,2530.921882538708,11.17108952718748,-6594.855020377196,-12074.772558249051
540.0,17:29:00.000,4.49072865240664,-75.3788036017194,2524.0,10.876798688606264,6791.800505374536,11927.136479004548
600.0,17:30:00.000,4.4904815313402136,-75.37884923431253,2520.0,7.281762343647036,6793.635403834487,14217.001460369618
660.0,17:31:00.000,4.490226188735802,-75.37886134153938,2516.0,-526.0066424325947,8987.069683086804,8391.489929252217
720.0,17:32:00.000,4.490046021367515,-75.37894050505973,2507.0,-561.7366137118394,-601.9301901946528,-3139.079151061611
780.0,17:33:00.000,4.490247495452916,-75.37900089009992,2516.0,-738.472451491034,-8041.651793882866,-9502.428305458045
840.0,17:34:00.000,4.490484054436032,-75.37898950372364,2520.0,-804.1239216351314,-7580.036078854087,-9497.705624628315
900.0,17:35:00.000,4.490795598555711,-75.37897265511029,2524.0,-368.73233311550575,-9760.778826512063,-7333.137250243555
960.0,17:36:00.000,4.491055661665206,-75.37904058733498,2522.690117987631,-948.0105553802764,-1305.709233126334,-4946.019648838614
1020.0,17:37:00.000,4.4909346387852365,-75.3791803837104,2516.0,108.5508157346,7184.78457899046,7575.393853375506
1080.0,17:38:00.000,4.490696638527717,-75.3791954060179,2516.0,3600.6019184452257,7716.628357356263,-10684.193652149275
1140.0,17:39:00.000,4.490441572637168,-75.37917604891979,2509.9697355147155,3876.442169845953,7691.397958727777,-12460.579536898927
1200.0,17:40:00.000,4.490209649491243,-75.37916367835534,2504.0,-2457.2841257503605,7712.680276771612,4152.031320718626
1260.0,17:41:00.000,4.490176372910809,-75.37928953313545,2504.0,-3506.864360934376,-2133.0699701903504,-2435.9766647734214
1320.0,17:42:00.000,4.490429864348013,-75.37936340540608,2500.0,4738.141404685244,-14034.697827640784,4355.880276754182
1380.0,17:43:00.000,4.490722035547027,-75.37934577940074,2504.0,5439.78018682436,-14766.29026234227,-374.0463496446173
1440.0,17:44:00.000,4.4910037859563845,-75.37934191702996,2508.0,-3793.0338090309865,-14775.968976161616,7280.698637904405
1500.0,17:45:00.000,4.491137465314724,-75.37946452271285,2508.0,-4374.055789504661,5391.779957351723,-6086.457597267305
1560.0,17:46:00.000,4.490863141203225,-75.37949113703185,2504.0,-4688.149515942302,2584.416809642693,-4058.140418036121
1620.0,17:47:00.000,4.49058006705576,-75.37948830995413,2500.0,5901.661997697287,17936.261548145747,11350.536070421347
1680.0,17:48:00.000,4.490291342095595,-75.37946472414458,2496.0,4705.82696887065,16656.6647864203,-1176.4224504479644
1740.0,17:49:00.000,4.490116602418755,-75.37952500829051,2492.0,-5828.117225474974,8183.881719330584,-3192.0597968540533
1800.0,17:50:00.000,4.490324494191293,-75.37957823477821,2496.0,-5863.163271825561,2469.4774184204853,5610.421874691623
1860.0,17:51:00.000,4.490580534048873,-75.37959431478117,2489.0,744.2731766975097,-12967.326605955092,6568.138494721272
1920.0,17:52:00.000,4.490809774801065,-75.37958245807077,2504.0,842.4144632007083,-12979.41469830796,6658.980175137556
1980.0,17:53:00.000,4.491159975853291,-75.3795962307169,2497.0,792.0790325025931,-6393.910766753317,3238.5225972646185
2040.0,17:54:00.000,4.491173362686269,-75.37972308311497,2497.0,753.8357927069883,12962.37832345106,-6942.787509100308
2100.0,17:55:00.000,4.490906879729778,-75.37974020554532,2492.0,727.4643828010836,12596.430415051002,-6907.514321234274
2160.0,17:56:00.000,4.4906716781099,-75.37972156173255,2489.2871178560463,700.505074095175,11308.995365052508,-6376.993391029355
2220.0,17:57:00.000,4.4904049376383695,-75.37970100636575,2487.0856177902538,662.9659015233677,12390.474029067023,-7126.688346124283
2279.9,17:57:59.900,4.490154069494131,-75.37969560313452,2487.0,651.1574719635731,14942.806011913715,-8553.499267008483
