lon,lat,elev_m,dBn_nT_per_m,dBe_nT_per_m,dBz_nT_per_m
-75.38499330654572,4.467653081906673,2514.0,3221.2674226825748,1033.7547698931323,219.56528496939467
-75.38247824630476,4.467653081906673,2390.0,2445.4335818208665,1776.1817406826844,-105.40421895625101
-75.37996318606379,4.467653081906673,2353.0,2122.2278257184307,1793.1767373897994,-345.8821778340501
-75.37744812582282,4.467653081906673,2330.0,1845.4252716859942,1617.5399956451718,-345.9130373811332
-75.37521251671974,4.467653081906673,2337.0,1644.4170241213192,1430.6434615821531,-345.9130373811332
-75.37269745647878,4.467653081906673,2502.0,1502.3280108805375,1072.9898796279858,-345.9130373811332
-75.37018239623782,4.467653081906673,2653.0,1419.4313872062462,725.6654911988644,-345.9130373811332
-75.36766733599686,4.467653081906673,2806.0,1297.310884169063,528.4971192378669,-345.9130373811332
-75.36543172689377,4.467653081906673,2852.0,1306.3774391315237,491.6800985478093,-345.9130373811332
-75.36291666665281,4.467653081906673,2749.0,1375.996138451986,489.47005150632054,-345.9130373811332
-75.4093055555417,4.4696117193762595,1971.0,1627.8476981884314,546.9343230328218,-345.9130373811332
-75.40679049530074,4.4696117193762595,2005.0,1781.4004709268515,436.93221640868774,-345.9130373811332
-75.40455488619766,4.4696117193762595,2100.0,1916.518626472925,305.46811655851366,-345.9130373811332
-75.40203982595669,4.4696117193762595,2142.0,2096.519318725106,170.4457619498936,-345.9130373811332
-75.39952476571574,4.4696117193762595,2162.0,2322.2936253798734,95.20186031215806,-345.9130373811332
-75.39700970547477,4.4696117193762595,2184.0,2608.621091663673,98.57814358561103,-345.9130373811332
-75.39477409637169,4.4696117193762595,2247.0,2909.860397225721,211.7941556768762,-345.9130373811332
-75.39225903613072,4.4696117193762595,2389.0,3213.080932420687,562.1107548399101,-345.8872754819472
-75.38974397588976,4.4696117193762595,2442.0,3395.4717591727467,1304.7546912378066,-308.6062956140667
-75.38722891564879,4.4696117193762595,2510.0,3481.842350046628,2347.626962119039,-64.85913999920155
-75.38499330654572,4.4696117193762595,2508.0,3204.8559191314944,2570.6260627397314,-101.04773731604377
