# META_JSON={"dz_m": 25.0, "model_depth_m": 2000.0, "dome_depth_m": 600.0, "under_depth_m": 750.0, "crater_depth_m": 50.0, "affine6": [0.0002777777777778146, 0.0, -75.4093055555417, 0.0, -0.0002777777777778146, 4.504027777770425], "units": ["Complejo Cajamarca", "Edificio Volcánico", "Depósitos dentro del cráter", "Domo dacítico", "under_dome"], "unit_properties": {"Complejo Cajamarca": {"dens": 2.9, "chi": 0.01}, "Edificio Volcánico": {"dens": 1.8, "chi": 0.02}, "Depósitos dentro del cráter": {"dens": 1.95, "chi": 0.015}, "Domo dacítico": {"dens": 2.5, "chi": 0.03}, "under_dome": {"dens": 1.9, "chi": 0.02}}, "grid_shape": {"nk": 80, "H": 138, "W": 167}, "note": "Leer con pandas.read_csv(..., comment='#'). Cada fila es un intervalo vertical continuo por (x,y)."}
x_easting_m,y_northing_m,top_depth_m,bottom_depth_m,top_elev_m,bottom_elev_m,unit,dens,chi
-75.4019444444306,4.503888888881536,0.0,625.0,2041.0,1416.0,Edificio Volcánico,1.8,0.02
-75.4019444444306,4.503888888881536,625.0,2000.0,1416.0,41.0,Complejo Cajamarca,2.9,0.01
-75.40166666665282,4.503888888881536,0.0,625.0,2057.0,1432.0,Edificio Volcánico,1.8,0.02
-75.40166666665282,4.503888888881536,625.0,2000.0,1432.0,57.0,Complejo Cajamarca,2.9,0.01
-75.40138888887503,4.503888888881536,0.0,625.0,2059.0,1434.0,Edificio Volcánico,1.8,0.02
-75.40138888887503,4.503888888881536,625.0,2000.0,1434.0,59.0,Complejo Cajamarca,2.9,0.01
-75.40111111109726,4.503888888881536,0.0,625.0,2056.0,1431.0,Edificio Volcánico,1.8,0.02
-75.40111111109726,4.503888888881536,625.0,2000.0,1431.0,56.0,Complejo Cajamarca,2.9,0.01
-75.40083333331948,4.503888888881536,0.0,625.0,2054.0,1429.0,Edificio Volcánico,1.8,0.02
-75.40083333331948,4.503888888881536,625.0,2000.0,1429.0,54.0,Complejo Cajamarca,2.9,0.01
-75.4005555555417,4.503888888881536,0.0,625.0,2057.0,1432.0,Edificio Volcánico,1.8,0.02
-75.4005555555417,4.503888888881536,625.0,2000.0,1432.0,57.0,Complejo Cajamarca,2.9,0.01
-75.40027777776393,4.503888888881536,0.0,625.0,2064.0,1439.0,Edificio Volcánico,1.8,0.02
-75.40027777776393,4.503888888881536,625.0,2000.0,1439.0,64.0,Complejo Cajamarca,2.9,0.01
-75.39999999998615,4.503888888881536,0.0,625.0,2068.0,1443.0,Edificio Volcánico,1.8,0.02
-75.39999999998615,4.503888888881536,625.0,2000.0,1443.0,68.0,Complejo Cajamarca,2.9,0.01
-75.39972222220837,4.503888888881536,0.0,625.0,2073.0,1448.0,Edificio Volcánico,1.8,0.02
-75.39972222220837,4.503888888881536,625.0,2000.0,1448.0,73.0,Complejo Cajamarca,2.9,0.01
-75.3994444444306,4.503888888881536,0.0,625.0,2079.0,1454.0,Edificio Volcánico,1.8,0.02
-75.3994444444306,4.503888888881536,625.0,2000.0,1454.0,79.0,Complejo Cajamarca,2.9,0.01
-75.39916666665282,4.503888888881536,0.0,625.0,2083.0,1458.0,Edificio Volcánico,1.8,0.02
-75.39916666665282,4.503888888881536,625.0,2000.0,1458.0,83.0,Complejo Cajamarca,2.9,0.01
-75.39888888887504,4.503888888881536,0.0,625.0,2086.0,1461.0,Edificio Volcánico,1.8,0.02
-75.39888888887504,4.503888888881536,625.0,2000.0,1461.0,86.0,Complejo Cajamarca,2.9,0.01
-75.39861111109727,4.503888888881536,0.0,625.0,2087.0,1462.0,Edificio Volcánico,1.8,0.02
-75.39861111109727,4.503888888881536,625.0,2000.0,1462.0,87.0,Complejo Cajamarca,2.9,0.01
-75.39833333331948,4.503888888881536,0.0,625.0,2083.0,1458.0,Edificio Volcánico,1.8,0.02
-75.39833333331948,4.503888888881536,625.0,2000.0,1458.0,83.0,Complejo Cajamarca,2.9,0.01
-75.3980555555417,4.503888888881536,0.0,625.0,2069.0,1444.0,Edificio Volcánico,1.8,0.02
-75.3980555555417,4.503888888881536,625.0,2000.0,1444.0,69.0,Complejo Cajamarca,2.9,0.01
-75.39777777776392,4.503888888881536,0.0,625.0,2055.0,1430.0,Edificio Volcánico,1.8,0.02
-75.39777777776392,4.503888888881536,625.0,2000.0,1430.0,55.0,Complejo Cajamarca,2.9,0.01
-75.39749999998615,4.503888888881536,0.0,625.0,2048.0,1423.0,Edificio Volcánico,1.8,0.02
-75.39749999998615,4.503888888881536,625.0,2000.0,1423.0,48.0,Complejo Cajamarca,2.9,0.01
-75.39722222220837,4.503888888881536,0.0,625.0,2054.0,1429.0,Edificio Volcánico,1.8,0.02
-75.39722222220837,4.503888888881536,625.0,2000.0,1429.0,54.0,Complejo Cajamarca,2.9,0.01
-75.39694444443059,4.503888888881536,0.0,625.0,2067.0,1442.0,Edificio Volcánico,1.8,0.02
-75.39694444443059,4.503888888881536,625.0,2000.0,1442.0,67.0,Complejo Cajamarca,2.9,0.01
-75.39666666665282,4.503888888881536,0.0,625.0,2078.0,1453.0,Edificio Volcánico,1.8,0.02
-75.39666666665282,4.503888888881536,625.0,2000.0,1453.0,78.0,Complejo Cajamarca,2.9,0.01
-75.39638888887504,4.503888888881536,0.0,625.0,2099.0,1474.0,Edificio Volcánico,1.8,0.02
-75.39638888887504,4.503888888881536,625.0,2000.0,1474.0,99.0,Complejo Cajamarca,2.9,0.01
-75.39611111109726,4.503888888881536,0.0,625.0,2115.0,1490.0,Edificio Volcánico,1.8,0.02
-75.39611111109726,4.503888888881536,625.0,2000.0,1490.0,115.0,Complejo Cajamarca,2.9,0.01
-75.39583333331949,4.503888888881536,0.0,625.0,2118.0,1493.0,Edificio Volcánico,1.8,0.02
-75.39583333331949,4.503888888881536,625.0,2000.0,1493.0,118.0,Complejo Cajamarca,2.9,0.01
-75.3955555555417,4.503888888881536,0.0,625.0,2117.0,1492.0,Edificio Volcánico,1.8,0.02
-75.3955555555417,4.503888888881536,625.0,2000.0,1492.0,117.0,Complejo Cajamarca,2.9,0.01
-75.39527777776392,4.503888888881536,0.0,625.0,2123.0,1498.0,Edificio Volcánico,1.8,0.02
-75.39527777776392,4.503888888881536,625.0,2000.0,1498.0,123.0,Complejo Cajamarca,2.9,0.01
-75.39499999998615,4.503888888881536,0.0,625.0,2131.0,1506.0,Edificio Volcánico,1.8,0.02
-75.39499999998615,4.503888888881536,625.0,2000.0,1506.0,131.0,Complejo Cajamarca,2.9,0.01
-75.39472222220837,4.503888888881536,0.0,625.0,2139.0,1514.0,Edificio Volcánico,1.8,0.02
-75.39472222220837,4.503888888881536,625.0,2000.0,1514.0,139.0,Complejo Cajamarca,2.9,0.01
-75.39444444443059,4.503888888881536,0.0,625.0,2146.0,1521.0,Edificio Volcánico,1.8,0.02
-75.39444444443059,4.503888888881536,625.0,2000.0,1521.0,146.0,Complejo Cajamarca,2.9,0.01
-75.39416666665282,4.503888888881536,0.0,625.0,2158.0,1533.0,Edificio Volcánico,1.8,0.02
-75.39416666665282,4.503888888881536,625.0,2000.0,1533.0,158.0,Complejo Cajamarca,2.9,0.01
-75.39388888887504,4.503888888881536,0.0,625.0,2169.0,1544.0,Edificio Volcánico,1.8,0.02
-75.39388888887504,4.503888888881536,625.0,2000.0,1544.0,169.0,Complejo Cajamarca,2.9,0.01
-75.39361111109726,4.503888888881536,0.0,625.0,2170.0,1545.0,Edificio Volcánico,1.8,0.02
-75.39361111109726,4.503888888881536,625.0,2000.0,1545.0,170.0,Complejo Cajamarca,2.9,0.01
