Tiempo_s,Hora,Latitud,Longitud,Altura,dB_V_dZ,dB_N_dN,dB_E_dE
0.0,14:32:20.000,4.466074081017342,-75.38506057563389,2166.0,-949.2319894340714,2333.6230250259505,2991.628551327667
40.0,14:33:00.000,4.466269243960801,-75.3852222664847,2176.0,-5265.942751182437,-6672.840019975916,4336.832636936146
100.0,14:34:00.000,4.466514474716194,-75.38532263475065,2186.348567701801,-867.1301529149641,3735.446821829275,4143.592568488904
160.0,14:35:00.000,4.46673396399968,-75.38543882482178,2185.7837254803594,-814.2472290715814,5297.923579553088,4621.868131650554
220.0,14:36:00.000,4.466957073603086,-75.38562740115846,2199.0,-837.499492432859,5421.9307576595365,3412.960532955345
280.0,14:37:00.000,4.46723754248891,-75.38581737993182,2203.0,-570.351290420212,5153.145695011437,3357.216310071686
340.0,14:38:00.000,4.467453726800497,-75.38590327529745,2214.3062760246826,-4294.569665734704,-5835.384965043893,-1082.8006898508356
400.0,14:39:00.000,4.467742907363257,-75.38594217419266,2221.3455576180204,-309.6880672515933,1931.7146640105784,-1092.5142257812297
460.0,14:40:00.000,4.4680217268980345,-75.38611409237232,2217.000200672252,242.28108228850277,10243.479790487265,11111.996563825094
520.0,14:41:00.000,4.468305130843952,-75.38629003357664,2210.6492249034263,472.789525224119,11331.453151145824,13969.929502627108
580.0,14:42:00.000,4.468634904973893,-75.38646876249604,2196.437565845583,-259.77373488412314,15541.205069877991,6973.671541030642
640.0,14:43:00.000,4.4688856603152125,-75.38657554947348,2206.0,55.12933293013581,11744.351524338295,13427.184306079438
700.0,14:44:00.000,4.469148291852335,-75.38657202993446,2203.5670496162143,405.9239546510944,-7437.746231575387,-13181.61297074525
760.0,14:45:00.000,4.46944913555123,-75.38641287515733,2212.132092509908,200.19468754634727,-10485.643218762523,-4616.174636017677
820.0,14:46:00.000,4.469712598996697,-75.38639488362456,2229.0,629.1561826611141,9651.759838302154,13429.18765577881
880.0,14:47:00.000,4.469987694247288,-75.38647954633062,2237.612150704861,-131.02713160115914,15071.98063570262,7102.206863758205
940.0,14:48:00.000,4.470226002084013,-75.3866145987193,2227.221491998194,627.4978150430737,14079.712691780842,16618.598384678233
1000.0,14:49:00.000,4.47047371271669,-75.38680411006159,2244.4269302162243,-281.49093569862697,16484.183069704803,10848.06309337986
1060.0,14:50:00.000,4.470696101695402,-75.38711231866358,2229.3052726634223,176.7599445796853,14203.713034156612,8767.437745906493
1120.0,14:51:00.000,4.470905970458093,-75.38736272634841,2230.8715195906284,-294.89232522527647,13684.6942449631,5596.174623702762
1180.0,14:52:00.000,4.471152421393359,-75.3873988298672,2234.0,205.1360244611036,4730.666640516974,3310.277384137462
1240.0,14:53:00.000,4.471353587187236,-75.38726160652276,2263.0,680.7295836428724,1745.4351361430672,2201.5345804054377
1300.0,14:54:00.000,4.4715665273227785,-75.3871415358799,2274.8769377414337,-315.8181611877905,-3328.457589525977,-2016.9415662773424
1360.0,14:55:00.000,4.471829068236778,-75.38710114421046,2281.74624993729,318.56939063144574,-11223.507882681455,-15396.391529895576
1420.0,14:56:00.000,4.472100375269098,-75.3870629885855,2299.691315908293,654.5319551833915,8669.839533756181,16394.073225820346
1480.0,14:57:00.000,4.472334741911446,-75.38716121458343,2297.265389053329,464.7920321891336,9415.71843319798,19071.03685016986
